#;CAMINHO NO XML;CAMPO;"REGRAS DE NEGÓCIO PARA A NOTA FISCAL DE SERVIÇO ELETRÔNICA DO 
SISTEMA NACIONAL NFS-e";;;;;;"NÍVEL
DA REGRA";"EMISSORES PÚBLICOS NACIONAIS NFS-e
(SEFIN, WEB, APP)";;ADN NFS-e;;OBSERVAÇÕES DE NEGÓCIO;;;
237;;;"Para este CNPJ, se o emitente for o tomador de serviço (tpEmit = 2), na data de competência informada na DPS o município emissor deve corresponder:
1) ao município do endereço registrado no cadastro CNPJ ou;
2) ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CNPJ + IM informados na DPS para o prestador devem existir no CNC NFS-e);";;Obrig.;Rej.;E0194;CNPJ do emitente tomador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CNPJ e CNC NFS-e.;2;V;X;X;X;Regra executada somente quando o emitente da DPS for o tomador ou intermediário do serviço (tpEmit = 2 ou 3).;;;
238;;;CNPJ do tomador é igual ao CNPJ do prestador. Para efeitos desta regra comparar o CNPJ completo.;;Obrig.;Rej.;E0202;Na emissão da NFS-e não é permitido que o prestador do serviço seja igual ao tomador do serviço. ;2;V;X;X;X;-;;;
239;;;Se a DPS indicar retenção pelo tomador (tpRetISSQN = 2), então o tomador deve ser identificado por CNPJ ou CPF.;;Obrig.;Rej.;E0204;"CNPJ ou CPF do tomador não foi informado, mas existe uma indicação para retenção do ISSQN na DPS no campo de tipo de ""Retenção do ISSQN"".";2;V;X;V;X;-;;;
240;NFSe/infNFSe/DPS/infDPS/toma/;CPF;;;;;;;;;;;;;;;
241;;;CPF informado na DPS é inválido (verificar DV).;;Obrig.;Rej.;E0206;CPF do tomador informado na DPS é inválido.;1;V;V;V;V;-;;;
242;;;CPF do tomador inexistente no cadastro CPF na data de competência informada na DPS.;;Obrig.;Rej.;E0207;CPF do tomador não encontrado no cadastro CPF.;2;V;V;X;X;-;;;
243;;;"Para este CPF, se o emitente for o tomador de serviço (tpEmit = 2), na data de competência informada na DPS o município emissor deve corresponder ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e);";;Obrig.;Rej.;E0212;CPF do emitente tomador não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CPF e CNC NFS-e.;2;V;X;X;X;-;;;
244;NFSe/infNFSe/DPS/infDPS/toma/;NIF;Se o campo tpEmit for ígual a 2, então NIF do tomador não pode ser informado.;;Obrig.;Rej.;E0222;O tomador de serviço, quando emitente da DPS, não pode ser identificado pelo NIF.;2;V;X;X;X;-;;;
245;;;Se o grupo de informações de endereço no exterior do tomador de serviços foi informado então o NIF ou cNaoNIF do tomador deve ser informado.;;Obrig.;Rej.;E0223;O NIF ou cNaoNIF do tomador deve ser informado quando o grupo de informações de endereço no exterior do tomador de serviços foi informado.;2;V;X;V;X;-;;;
246;NFSe/infNFSe/DPS/infDPS/toma/;cNaoNIF;;;;;;;;;;;;;;;
247;;;Se o campo tpEmit for ígual a 2, então cNaoNIF do tomador não pode ser informado.;;Obrig.;Rej.;E0224;O tomador de serviço, quando emitente da DPS, somente pode ser identificado pelo CNPJ ou CPF.;2;V;X;X;X;-;;;
248;;;Se o valor do campo cNaoNIF do tomador, informado na DPS, for 0, então a DPS deve ser rejeitada.;;Obrig.;Rej.;E0226;Valor 0 para o motivo da não informação do NIF do tomador não é permitido na Sefin do Sistema Nacional NFS-e.;2;V;X;X;X;-;;;
249;NFSe/infNFSe/DPS/infDPS/toma/;CAEPF;-;;-;-;-;-;-;-;-;-;;-;;;
250;NFSe/infNFSe/DPS/infDPS/toma/;IM;"Se o emitente for o prestador de serviço (tpEmit = 2) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.

Utilizar o identificador federal (CNPJ ou CPF) do tomador de serviço e o codigo do município emissor (cLocEmi), ambos informados na DPS, para identificar as ocorrências no CNC NFS-e. Se houver pelo menos uma ocorrência então o emitente da DPS deve informar o IM correspondente registrado no CNC NFS-e, que identifique unicamente o registro complementar.

Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.";;Obrig.;Rej.;E0228;A IM deve ser informada para o emitente tomador do serviço na DPS, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.;2;V;X;X;X;-;;;
251;;;"Verificar se o IM informado na DPS está autorizado a emitir NFS-e na data de processamento desta DPS, se o emitente for o tomador de serviço (tpEmit = 2) e, se houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então a IM deve ser informada na DPS.

Utilizar o identificador federal (CNPJ ou CPF) do tomador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.

Exceto quando o emitente da DPS for MEI na data de competência da emissão da NFS-e.";;Obrig.;Rej.;E0231;IM do emitente tomador não está autorizado a emitir NFS-e, conforme informações complementares registradas no CNC NFS-e do município emissor informado na DPS.;2;V;X;X;X;-;;;
252;;;"Se o emitente for o tomador de serviço (tpEmit = 2) e, se não houver registro complementar do contribuinte no CNC do município correspondente ao município emissor da DPS, então o IM não deve ser informado na DPS.

Utilizar o identificador federal (CNPJ ou CPF) do tomador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.";;Obrig.;Rej.;E0232;IM do tomador não deve ser informado, pois não existem informações complementares registradas no CNC NFS-e do município emissor informado na DPS.;2;V;X;X;X;-;;;
253;;;"Utilizar o identificador federal (CNPJ ou CPF) do prestador de serviço, o codigo do município emissor (cLocEmi) e o IM,  informados na DPS, para identificar o registro complementar no CNC NFS-e.

Para o emitente tomador de serviço (tpEmit = 2), verificar se o IM informado nesta DPS está Inativo (cStat) no CNC do município emissor na data de competência informada.
 
Se todos os registros complementares estiverem inativos, utilizar as informações dos cadastros RFB (CNPJ ou CPF), conforme identificador federal utilizado para identificar o emitente da DPS.";;Obrig.;Rej.;E0229;O IM informado está inativo no CNC NFS-e do município emissor para a data de competência informada na DPS. ;2;V;X;X;X;-;;;
254;NFSe/infNFSe/DPS/infDPS/toma/;xNome;Se NIF for preenchido então o campo xNome deve ser preenchido obrigatoriamente.;;Obrig.;Rej.;E0233;O nome tomador deve ser preenchido obrigatoriamente quando o NIF do tomador for preenchido.;1;V;X;V;X;-;;;
255;NFSe/infNFSe/DPS/infDPS/toma/;end;"Quando o emitente da DPS informar um subitem da lista de serviço cuja incidência do ISSQN ocorra no local do estabelecimento/endereço do tomador, conforme planilha MUN.INCID_INFO.SERV. 
ou cIndOp for igual a 030102, 050102, 100101, 100301, 100501, 030103, 050103, 100102, 100201, 100302, 100401, 100502 ou 100601
 o endereço do tomador deve ser obrigatoriamente informado. ";;Obrig.;Rej.;E0234;O endereço do tomador é obrigatório para o indicador de operação informado ou quando a incidência do ISSQN definida para o serviço prestado ocorrer no local do estabelecimento/domicílio do tomador.;2;V;V;V;V;-;;;
256;NFSe/infNFSe/DPS/infDPS/toma/end/;endNac;Se o tpEmit é igual a 1 e o tomador foi identificado pelo CNPJ, então o grupo de informações de endereço nacional do tomador do serviço deve ser informado obrigatoriamente.;;Obrig.;Rej.;E0235;O endereço nacional do tomador do serviço deve ser informado na DPS quando o tomador for identificado pelo CNPJ.;1;X;X;V;X;-;;;
257;;;Se o emitente da DPS é o tomador do serviço (tpEmit = 2), então o grupo de informações do endereço nacional do tomador não deve ser informado na DPS.;;Obrig.;Rej.;E0236;O endereço nacional do tomador do serviço não deve ser informado na DPS quando o próprio tomador do serviço for o emitente da DPS.;1;V;X;V;X;-;;;
258;;;Se o valor do ISSQN deve ser retido pelo tomador do serviço (tpRetISSQN = 2), então o grupo de informações do endereço nacional deve ser informado na DPS obrigatoriamente, exceto se o emitente da DPS é o tomador do serviço (tpEmit = 2).;;Obrig.;Rej.;E0237;O endereço nacional do tomador do serviço deve ser informado na DPS quando o valor do ISSQN for retido pelo tomador, exceto se o emitente da DPS é o próprio tomador do serviço.;1;V;X;V;X;-;;;
259;NFSe/infNFSe/DPS/infDPS/toma/end/endNac/;cMun;O código do município informado para o endereço do tomador do serviço não existe, conforme tabela de municípios do IBGE.;;Obrig.;Rej.;E0238;O código do município informado na DPS para o endereço do tomador do serviço não existe conforme tabela de município do IBGE.;1;V;V;V;V;-;;;
260;NFSe/infNFSe/DPS/infDPS/toma/end/endNac/;CEP;O CEP informado deve existir e pertencer ao município correspondente ao código do município informado para o endereço do tomador do serviço.;;Obrig.;Rej.;E0240;O CEP informado para o endereço nacional do tomador do serviço não existe ou não pertence ao município do endereço do tomador.;1;V;X;V;X;-;;;
261;NFSe/infNFSe/DPS/infDPS/toma/end/;endExt;Se o NIF do tomador de serviço foi informado e o emitente da DPS for identificado por CNPJ, então o grupo de informações de endereço no exterior do tomador do serviço deve ser informado obrigatoriamente.;;Obrig.;Rej.;E0242;O grupo de informações de endereço no exterior deve ser informado obrigatoriamente quando o tomador for identificado pelo NIF e o emitente por CNPJ.;1;V;X;V;X;-;;;
262;NFSe/infNFSe/DPS/infDPS/toma/end/endExt/;cPais;O código de país informado para o endereço no exterior do tomador do serviço deve existir e ser diferente de Brasil (BR), conforme a tabela ISO2.;;Obrig.;Rej.;E0246;O código de país informado para o endereço no exterior do tomador do serviço não existe ou é igual ao código do Brasil. Informe um código de país existente e diferente do codigo do Brasil (BR) para o endereço no exterior do tomador do serviço, conforme tabela de país do ANEXO_A-MUNICIPIO_IBGE-PAISES_ISO2-SNNFSe-ESPEC.;1;V;V;V;V;-;;;
263;NFSe/infNFSe/DPS/infDPS/toma/end/endExt/;cEndPost;-;;-;-;-;-;-;-;-;-;-;-;;;
264;NFSe/infNFSe/DPS/infDPS/toma/end/endExt/;xCidade;-;;-;-;-;-;-;-;-;-;-;-;;;
265;NFSe/infNFSe/DPS/infDPS/toma/end/endExt/;xEstProvReg;-;;-;-;-;-;-;-;-;-;-;-;;;
266;NFSe/infNFSe/DPS/infDPS/toma/end/;xLgr;-;;-;-;-;-;-;-;-;-;-;-;;;
267;NFSe/infNFSe/DPS/infDPS/toma/end/;nro;-;;-;-;-;-;-;-;-;-;-;-;;;
268;NFSe/infNFSe/DPS/infDPS/toma/end/;xCpl;-;;-;-;-;-;-;-;-;-;-;-;;;
269;NFSe/infNFSe/DPS/infDPS/toma/end/;xBairro;-;;-;-;-;-;-;-;-;-;-;-;;;
270;NFSe/infNFSe/DPS/infDPS/toma/;fone;-;;-;-;-;-;-;-;-;-;-;-;;;
271;NFSe/infNFSe/DPS/infDPS/toma/;email;Email deve ser informado conforme estrutura (conter @, ponto etc.).;;Obrig.;Rej.;E0247;Email inválido.;2;V;X;V;X;-;;;
272;NFSe/infNFSe/DPS/infDPS/;interm;-;;-;-;;-;-;-;-;-;-;-;;;
273;NFSe/infNFSe/DPS/infDPS/interm/;CNPJ;CNPJ informado na DPS é inválido (verificar DV).;;Obrig.;Rej.;E0248;CNPJ do intermediário informado na DPS é inválido.;1;V;V;V;V;-;;;
274;;;CNPJ do intermediário não existe no cadastro CNPJ na data de competência informada na DPS.;;Obrig.;Rej.;E0250;CNPJ do intermediário não encontrado no cadastro CNPJ.;2;V;V;X;X;-;;;
275;;;"Para este CNPJ, se o emitente for o intermediário do serviço (tpEmit = 3), na data de competência informada na DPS o município emissor deve corresponder:
1) ao município do endereço registrado no cadastro CNPJ ou;
2) ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CNPJ + IM informados na DPS para o prestador devem existir no CNC NFS-e);";;Obrig.;Rej.;E0254;CNPJ do emitente intermediário não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CNPJ e CNC NFS-e.;2;V;X;X;X;-;;;
276;;;CNPJ do intermediário é igual ao CNPJ do prestador. Para efeitos desta regra comparar a raíz dos CNPJ (8 primeiros dígitos).;;Obrig.;Rej.;E0262;Na emissão da NFS-e não é permitido que o prestador do serviço seja igual ao intermediário do serviço. ;2;V;X;X;X;-;;;
277;;;Se a DPS indicar retenção pelo intermediário (tpRetISSQN = 3), então o intermediário deve ser identificado por CNPJ ou CPF.;;Obrig.;Rej.;E0264;"CNPJ ou CPF do intermediário não foi informado, mas existe uma indicação para retenção do ISSQN na DPS no campo de tipo de ""Retenção do ISSQN"".";2;V;X;X;X;-;;;
278;NFSe/infNFSe/DPS/infDPS/interm/;CPF;;;;;;;;V;X;X;X;-;;;
279;;;CPF informado na DPS é inválido (verificar DV).;;Obrig.;Rej.;E0266;CPF do intermediário informado na DPS é inválido.;1;V;V;V;V;-;;;
280;;;CPF intermediário inexistente no cadastro CPF na data de competência informada na DPS.;;Obrig.;Rej.;E0268;CPF do intermediário não encontrado no cadastro CPF.;2;V;V;X;X;-;;;
281;;;"Para este CPF, se o emitente for o intermediário do serviço (tpEmit = 3), na data de competência informada na DPS o município emissor (cLocEmi) deve corresponder ao município do endereço registrado no cadastro nacional complementar NFS-e. (cLocEmi + CPF + IM informados na DPS para o prestador devem existir no CNC NFS-e);";;Obrig.;Rej.;E0272;CPF do emitente intermediário não possui estabelecimento ou domicílio em um município correspondente ao município emissor, na data de competência informada na DPS, conforme cadastros CPF e CNC NFS-e.;2;V;X;X;X;-;;;
282;NFSe/infNFSe/DPS/infDPS/interm/;NIF; Se o campo tpEmit for ígual a 3, então NIF do intermediário não pode ser informado.;;Obrig.;Rej.;E0280;O intermediário de serviço, quando emitente da DPS, não pode ser identificado pelo NIF.;2;V;X;X;X;-;;;
283;;;Se o grupo de informações de endereço no exterior do intermediário de serviços foi informado então o NIF ou cNaoNIF do intermediário deve ser informado.;;Obrig.;Rej.;E0281;O NIF ou cNaoNIF do intermediário deve ser informado quando o grupo de informações de endereço no exterior do intermediário de serviços foi informado.;2;V;X;V;X;-;;;
284;NFSe/infNFSe/DPS/infDPS/interm/;cNaoNIF;;;;;;;;;;;;;;;
285;;;Se o campo tpEmit for ígual a 3, então cNaoNIF do intermediário não pode ser informado.;;Obrig.;Rej.;E0284;O intermediário de serviço, quando emitente da DPS, somente pode ser identificado pelo CNPJ ou CPF.;2;V;X;X;X;-;;;
286;;;Se o valor do campo cNaoNIF do intermediário, informado na DPS, for 0, então a DPS deve ser rejeitada.;;Obrig.;Rej.;E0286;Valor 0 para o motivo da não informação do NIF do intermediário não é permitido na Sefin do Sistema Nacional NFS-e.;2;V;X;X;X;-;;;
